timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-15T12:23:38-04:00,57422974,5.47,54.76
2025-03-15T12:23:48-04:00,118355070,5.81,112.87
2025-03-15T12:23:58-04:00,196637822,7.47,187.53
2025-03-15T12:24:08-04:00,272069758,7.19,259.47
2025-03-15T12:24:18-04:00,338801790,6.36,323.11
2025-03-15T12:24:28-04:00,406025342,6.41,387.22
2025-03-15T12:24:38-04:00,444102534,3.63,423.53
2025-03-15T12:24:48-04:00,498317190,5.17,475.23
2025-03-15T12:24:58-04:00,531462022,3.16,506.84
2025-03-15T12:25:08-04:00,561117062,2.83,535.12
2025-03-15T12:25:18-04:00,596473734,3.37,568.84
2025-03-15T12:25:28-04:00,630486918,3.24,601.28
2025-03-15T12:25:38-04:00,671283854,3.89,640.19
2025-03-15T12:25:48-04:00,729578126,5.56,695.78
2025-03-15T12:25:58-04:00,764557966,3.34,729.14
2025-03-15T12:26:08-04:00,785250958,1.97,748.87
2025-03-15T12:26:18-04:00,804174478,1.80,766.92
2025-03-15T12:26:28-04:00,827456142,2.22,789.12
2025-03-15T12:26:38-04:00,842120598,1.40,803.11
2025-03-15T12:26:48-04:00,863550870,2.04,823.55
2025-03-15T12:26:58-04:00,886422934,2.18,845.36
2025-03-15T12:27:08-04:00,906722710,1.94,864.72
2025-03-15T12:27:18-04:00,929463702,2.17,886.41
2025-03-15T12:27:28-04:00,951664022,2.12,907.58
2025-03-15T12:27:38-04:00,966084266,1.37,921.33
2025-03-15T12:27:48-04:00,988168350,2.11,942.39
2025-03-15T12:27:58-04:00,1008828574,1.97,962.09
2025-03-15T12:28:08-04:00,1029800094,2.00,982.09
2025-03-15T12:28:18-04:00,1049641118,1.89,1001.02
2025-03-15T12:28:28-04:00,1073053854,2.23,1023.34
2025-03-15T12:28:38-04:00,1090422658,1.66,1039.91
2025-03-15T12:28:48-04:00,1106822054,1.56,1055.55
2025-03-15T12:28:58-04:00,1128907686,2.11,1076.61
2025-03-15T12:29:08-04:00,1149830054,2.00,1096.56
2025-03-15T12:29:18-04:00,1169474470,1.87,1115.30
2025-03-15T12:29:28-04:00,1187824550,1.75,1132.80
2025-03-15T12:29:38-04:00,1208910758,2.01,1152.91
2025-03-15T12:29:48-04:00,1222002350,1.25,1165.39
2025-03-15T12:29:58-04:00,1243449006,2.05,1185.85
2025-03-15T12:30:08-04:00,1264338606,1.99,1205.77
2025-03-15T12:30:18-04:00,1283327662,1.81,1223.88
2025-03-15T12:30:28-04:00,1306576558,2.22,1246.05
2025-03-15T12:30:38-04:00,1326859950,1.93,1265.39
2025-03-15T12:30:48-04:00,1343624396,1.60,1281.38
2025-03-15T12:30:58-04:00,1360955830,1.65,1297.91
2025-03-15T12:31:08-04:00,1380665782,1.88,1316.71
2025-03-15T12:31:18-04:00,1432226230,4.92,1365.88
2025-03-15T12:31:28-04:00,1501448630,6.60,1431.89
2025-03-15T12:31:38-04:00,1571883446,6.72,1499.06
2025-03-15T12:31:48-04:00,1617038784,4.30,1542.13
2025-03-15T12:31:58-04:00,1689095358,6.88,1610.85
2025-03-15T12:32:08-04:00,1763691710,7.11,1681.99
2025-03-15T12:32:18-04:00,1839500478,7.23,1754.28
2025-03-15T12:32:28-04:00,1877167294,3.59,1790.21
2025-03-15T12:32:38-04:00,1945734334,6.54,1855.60
2025-03-15T12:32:48-04:00,2009285162,6.06,1916.20
2025-03-15T12:32:58-04:00,2096107462,8.28,1999.00
2025-03-15T12:33:08-04:00,2175094726,7.53,2074.33
2025-03-15T12:33:18-04:00,2205913030,2.94,2103.72
2025-03-15T12:33:28-04:00,2239369158,3.19,2135.63
