timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-15T12:43:58-04:00,43779867,4.17,41.75
2025-03-15T12:44:08-04:00,95359428,4.92,90.94
2025-03-15T12:44:18-04:00,136978220,3.97,130.63
2025-03-15T12:44:28-04:00,190425687,5.10,181.60
2025-03-15T12:44:38-04:00,248926710,5.58,237.40
2025-03-15T12:44:48-04:00,303204881,5.18,289.16
2025-03-15T12:44:58-04:00,361715165,5.58,344.96
2025-03-15T12:45:08-04:00,401627524,3.81,383.02
2025-03-15T12:45:18-04:00,432405608,2.94,412.37
2025-03-15T12:45:28-04:00,470301069,3.61,448.51
2025-03-15T12:45:38-04:00,499201245,2.76,476.08
2025-03-15T12:45:48-04:00,556168874,5.43,530.40
2025-03-15T12:45:58-04:00,607841268,4.92,579.68
2025-03-15T12:46:08-04:00,656564980,4.66,626.15
2025-03-15T12:46:18-04:00,713743368,5.45,680.68
2025-03-15T12:46:28-04:00,769286076,5.30,733.65
2025-03-15T12:46:38-04:00,825101449,5.32,786.88
2025-03-15T12:46:48-04:00,883246788,5.54,842.33
2025-03-15T12:46:58-04:00,927826374,4.25,884.84
2025-03-15T12:47:08-04:00,969730729,4.00,924.81
2025-03-15T12:47:18-04:00,999673701,2.86,953.36
2025-03-15T12:47:28-04:00,1033295645,3.21,985.43
2025-03-15T12:47:38-04:00,1065113310,3.03,1015.77
2025-03-15T12:47:48-04:00,1099445677,3.27,1048.51
