timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-13T17:50:15-04:00,20793645,1.98,19.83
2025-03-13T17:50:25-04:00,35705800,1.42,34.05
2025-03-13T17:50:35-04:00,49095827,1.28,46.82
2025-03-13T17:50:45-04:00,56434272,0.70,53.82
2025-03-13T17:50:55-04:00,65800553,0.89,62.75
2025-03-13T17:51:05-04:00,78904567,1.25,75.25
2025-03-13T17:51:15-04:00,84152278,0.50,80.25
2025-03-13T17:51:25-04:00,87380696,0.31,83.33
2025-03-13T17:51:35-04:00,100880533,1.29,96.21
2025-03-13T17:51:45-04:00,107337278,0.62,102.36
2025-03-13T17:51:55-04:00,114543631,0.69,109.24
2025-03-13T17:52:05-04:00,122532965,0.76,116.86
2025-03-13T17:52:15-04:00,129156631,0.63,123.17
2025-03-13T17:52:25-04:00,145401670,1.55,138.67
2025-03-13T17:52:35-04:00,167750884,2.13,159.98
2025-03-13T17:52:45-04:00,188288423,1.96,179.57
2025-03-13T17:52:55-04:00,208408083,1.92,198.75
2025-03-13T17:53:05-04:00,225934983,1.67,215.47
2025-03-13T17:53:15-04:00,237840771,1.14,226.82
2025-03-13T17:53:25-04:00,251908122,1.34,240.24
2025-03-13T17:53:35-04:00,254321251,0.23,242.54
2025-03-13T17:53:45-04:00,258028278,0.35,246.07
2025-03-13T17:53:55-04:00,268378987,0.98,255.95
2025-03-13T17:54:05-04:00,273624662,0.50,260.95
2025-03-13T17:54:15-04:00,277568567,0.38,264.71
2025-03-13T17:54:25-04:00,280969210,0.32,267.95
2025-03-13T17:54:35-04:00,289623515,0.83,276.21
2025-03-13T17:54:45-04:00,298607787,0.86,284.77
2025-03-13T17:54:55-04:00,304814845,0.59,290.69
2025-03-13T17:55:05-04:00,312517086,0.73,298.04
2025-03-13T17:55:15-04:00,323146955,1.01,308.18
2025-03-13T17:55:25-04:00,339429478,1.55,323.71
2025-03-13T17:55:35-04:00,360417101,2.00,343.72
2025-03-13T17:55:45-04:00,379732331,1.84,362.14
2025-03-13T17:55:55-04:00,399284606,1.87,380.79
2025-03-13T17:56:05-04:00,417472590,1.73,398.13
2025-03-13T17:56:15-04:00,435042483,1.68,414.89
2025-03-13T17:56:25-04:00,454414564,1.85,433.36
2025-03-13T17:56:35-04:00,473920793,1.86,451.97
2025-03-13T17:56:45-04:00,491486507,1.68,468.72
2025-03-13T17:56:55-04:00,505828090,1.37,482.40
2025-03-13T17:57:05-04:00,517121051,1.08,493.17
2025-03-13T17:57:15-04:00,528832658,1.12,504.33
2025-03-13T17:57:25-04:00,538647849,0.94,513.69
2025-03-13T17:57:35-04:00,548119379,0.90,522.73
2025-03-13T17:57:45-04:00,556209493,0.77,530.44
2025-03-13T17:57:55-04:00,564309209,0.77,538.17
2025-03-13T17:58:05-04:00,572691616,0.80,546.16
2025-03-13T17:58:15-04:00,582659953,0.95,555.67
2025-03-13T17:58:25-04:00,589123017,0.62,561.83
2025-03-13T17:58:35-04:00,591512939,0.23,564.11
2025-03-13T17:58:45-04:00,598817825,0.70,571.08
2025-03-13T17:58:55-04:00,611438947,1.20,583.11
2025-03-13T17:59:05-04:00,618701663,0.69,590.04
2025-03-13T18:09:26-04:00,623530950,0.01,594.65
2025-03-13T18:09:35-04:00,624763125,0.14,595.82
2025-03-13T18:09:45-04:00,639512372,1.40,609.89
2025-03-13T18:09:55-04:00,654917634,1.47,624.58
2025-03-13T18:10:05-04:00,660189438,0.50,629.61
