timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-13T13:36:29-04:00,16918749,1.61,16.13
2025-03-13T13:36:39-04:00,35627878,1.78,33.98
2025-03-13T13:36:49-04:00,54264559,1.78,51.75
2025-03-13T13:36:59-04:00,69807163,1.48,66.57
2025-03-13T13:37:09-04:00,87255810,1.66,83.21
2025-03-13T13:37:19-04:00,103089790,1.51,98.31
2025-03-13T13:37:29-04:00,121629779,1.77,116.00
2025-03-13T13:37:39-04:00,141241216,1.87,134.70
2025-03-13T13:37:49-04:00,161262937,1.91,153.79
2025-03-13T13:37:59-04:00,175870812,1.39,167.72
2025-03-13T13:38:09-04:00,189581483,1.31,180.80
2025-03-13T13:38:19-04:00,205664368,1.53,196.14
2025-03-13T13:38:29-04:00,220768538,1.44,210.54
2025-03-13T13:38:39-04:00,240364940,1.87,229.23
2025-03-13T13:38:49-04:00,261916069,2.06,249.78
2025-03-13T13:38:59-04:00,278959175,1.63,266.04
2025-03-13T13:39:09-04:00,302968397,2.29,288.93
2025-03-13T13:39:19-04:00,322226705,1.84,307.30
2025-03-13T13:39:29-04:00,339629616,1.66,323.90
2025-03-13T13:39:39-04:00,355742086,1.54,339.26
2025-03-13T13:39:49-04:00,371281952,1.48,354.08
2025-03-13T13:39:59-04:00,388890333,1.68,370.87
2025-03-13T13:40:09-04:00,410924592,2.10,391.89
2025-03-13T13:40:19-04:00,430971364,1.91,411.01
2025-03-13T13:40:29-04:00,449387191,1.76,428.57
2025-03-13T13:40:39-04:00,469198865,1.89,447.46
2025-03-13T13:40:49-04:00,489096076,1.90,466.44
2025-03-13T13:40:59-04:00,503986320,1.42,480.64
2025-03-13T13:41:09-04:00,519373923,1.47,495.31
2025-03-13T13:41:19-04:00,531750390,1.18,507.12
