timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-13T16:03:37-04:00,2905948,0.28,2.77
2025-03-13T16:03:47-04:00,6487715,0.34,6.19
2025-03-13T16:03:57-04:00,10951563,0.43,10.44
2025-03-13T16:04:07-04:00,12880974,0.18,12.28
2025-03-13T16:04:17-04:00,17783465,0.47,16.96
2025-03-13T16:04:27-04:00,22485139,0.45,21.44
2025-03-13T16:04:37-04:00,31676455,0.88,30.21
2025-03-13T16:04:47-04:00,35405729,0.36,33.77
2025-03-13T16:04:57-04:00,40181662,0.46,38.32
2025-03-13T16:05:07-04:00,47671224,0.71,45.46
2025-03-13T16:05:17-04:00,53926488,0.60,51.43
2025-03-13T16:05:27-04:00,54369623,0.04,51.85
2025-03-13T16:05:37-04:00,54570341,0.02,52.04
2025-03-13T16:05:47-04:00,55032115,0.04,52.48
2025-03-13T16:05:57-04:00,55039479,0.00,52.49
2025-03-13T16:06:07-04:00,63044033,0.76,60.12
2025-03-13T16:06:17-04:00,70098998,0.67,66.85
2025-03-13T16:06:27-04:00,76127636,0.57,72.60
2025-03-13T16:06:37-04:00,80505655,0.42,76.78
2025-03-13T16:06:47-04:00,88441938,0.76,84.34
2025-03-13T16:06:57-04:00,91749553,0.32,87.50
2025-03-13T16:07:07-04:00,97011320,0.50,92.52
2025-03-13T16:07:17-04:00,100909457,0.37,96.23
2025-03-13T16:07:27-04:00,105254988,0.41,100.38
2025-03-13T16:07:37-04:00,112457243,0.69,107.25
2025-03-13T16:07:47-04:00,119224580,0.65,113.70
2025-03-13T16:07:57-04:00,123670241,0.42,117.94
2025-03-13T16:08:07-04:00,127390520,0.35,121.49
2025-03-13T16:08:17-04:00,134809299,0.71,128.56
2025-03-13T16:08:27-04:00,138823523,0.38,132.39
2025-03-13T16:08:37-04:00,143434431,0.44,136.79
2025-03-13T16:08:47-04:00,147086434,0.35,140.27
2025-03-13T16:08:57-04:00,148440789,0.13,141.56
2025-03-13T16:09:07-04:00,153172986,0.45,146.08
2025-03-13T16:09:17-04:00,161561551,0.80,154.08
2025-03-13T16:09:27-04:00,171156552,0.92,163.23
2025-03-13T16:09:37-04:00,176369280,0.50,168.20
2025-03-13T16:09:47-04:00,177889421,0.14,169.65
2025-03-13T16:09:57-04:00,181895464,0.38,173.47
2025-03-13T16:10:07-04:00,190150787,0.79,181.34
2025-03-13T16:10:17-04:00,199571693,0.90,190.33
2025-03-13T16:10:27-04:00,207828082,0.79,198.20
2025-03-13T16:10:37-04:00,212383016,0.43,202.54
2025-03-13T16:10:47-04:00,217581796,0.50,207.50
2025-03-13T16:10:57-04:00,222767410,0.49,212.45
2025-03-13T16:11:07-04:00,229522696,0.64,218.89
2025-03-13T16:11:17-04:00,239086007,0.91,228.01
2025-03-13T16:11:27-04:00,254199529,1.44,242.42
2025-03-13T16:11:37-04:00,263376356,0.87,251.18
2025-03-13T16:11:47-04:00,274958913,1.11,262.22
2025-03-13T16:11:57-04:00,283586698,0.82,270.45
2025-03-13T16:12:07-04:00,287754851,0.40,274.42
2025-03-13T16:12:17-04:00,293087304,0.51,279.51
2025-03-13T16:12:27-04:00,298128120,0.48,284.32
2025-03-13T16:12:37-04:00,299117677,0.09,285.26
2025-03-13T16:12:47-04:00,303802143,0.45,289.73
2025-03-13T16:12:57-04:00,307839239,0.38,293.58
2025-03-13T16:13:07-04:00,312649340,0.46,298.17
2025-03-13T16:13:17-04:00,317566496,0.47,302.86
2025-03-13T16:13:27-04:00,322615069,0.48,307.67
2025-03-13T16:13:37-04:00,324436943,0.17,309.41
2025-03-13T16:13:47-04:00,328119021,0.35,312.92
2025-03-13T16:13:57-04:00,334784920,0.64,319.28
2025-03-13T16:14:07-04:00,337718149,0.28,322.07
2025-03-13T16:14:17-04:00,339654712,0.18,323.92
2025-03-13T16:14:27-04:00,347505103,0.75,331.41
2025-03-13T16:14:37-04:00,356410311,0.85,339.90
2025-03-13T16:14:47-04:00,359832756,0.33,343.16
2025-03-13T16:14:57-04:00,360189934,0.03,343.50
2025-03-13T16:15:07-04:00,360571002,0.04,343.87
2025-03-13T16:15:17-04:00,360856781,0.03,344.14
2025-03-13T16:15:27-04:00,363369958,0.24,346.54
2025-03-13T16:15:37-04:00,364980587,0.15,348.07
2025-03-13T16:15:47-04:00,371041256,0.58,353.85
2025-03-13T16:15:57-04:00,375288966,0.41,357.90
2025-03-13T16:16:07-04:00,377852932,0.24,360.35
2025-03-13T16:16:17-04:00,381870631,0.38,364.18
2025-03-13T16:16:27-04:00,385432565,0.34,367.58
2025-03-13T16:16:37-04:00,388717197,0.31,370.71
2025-03-13T16:16:47-04:00,399917786,1.07,381.39
2025-03-13T16:16:57-04:00,414260909,1.37,395.07
2025-03-13T16:17:07-04:00,425847410,1.10,406.12
2025-03-13T16:17:17-04:00,436383564,1.00,416.17
2025-03-13T16:17:27-04:00,442675147,0.60,422.17
2025-03-13T16:17:37-04:00,448596947,0.56,427.82
2025-03-13T16:17:47-04:00,453338769,0.45,432.34
2025-03-13T16:17:57-04:00,455194675,0.18,434.11
2025-03-13T16:18:07-04:00,456664642,0.14,435.51
2025-03-13T16:18:17-04:00,460544431,0.37,439.21
2025-03-13T16:18:27-04:00,465663635,0.49,444.09
2025-03-13T16:18:37-04:00,475107147,0.90,453.10
2025-03-13T16:18:47-04:00,479848205,0.45,457.62
2025-03-13T16:18:58-04:00,480972876,0.10,458.69
2025-03-13T16:19:07-04:00,487678129,0.66,465.09
2025-03-13T16:19:17-04:00,495077256,0.71,472.14
2025-03-13T16:19:27-04:00,505925574,1.03,482.49
2025-03-13T16:19:37-04:00,517197266,1.07,493.24
2025-03-13T16:19:47-04:00,524680854,0.71,500.37
2025-03-13T16:19:57-04:00,529045206,0.42,504.54
2025-03-13T16:20:07-04:00,534713864,0.54,509.94
2025-03-13T16:20:17-04:00,540631743,0.56,515.59
2025-03-13T16:20:27-04:00,549708113,0.87,524.24
2025-03-13T16:20:37-04:00,561312165,1.11,535.31
2025-03-13T16:20:47-04:00,571509469,0.97,545.03
2025-03-13T16:20:57-04:00,586375760,1.42,559.21
2025-03-13T16:21:07-04:00,600451531,1.34,572.64
2025-03-13T16:21:17-04:00,606266539,0.55,578.18
2025-03-13T16:21:27-04:00,608351183,0.20,580.17
2025-03-13T16:21:37-04:00,609924975,0.15,581.67
2025-03-13T16:21:47-04:00,618441352,0.81,589.79
2025-03-13T16:21:57-04:00,635037396,1.58,605.62
2025-03-13T16:22:07-04:00,649798954,1.41,619.70
2025-03-13T16:22:17-04:00,665633610,1.51,634.80
2025-03-13T16:22:27-04:00,685690970,1.91,653.93
2025-03-13T16:22:37-04:00,703329887,1.68,670.75
2025-03-13T16:22:47-04:00,717476105,1.35,684.24
2025-03-13T16:22:57-04:00,736288347,1.79,702.18
2025-03-13T16:23:07-04:00,754815845,1.77,719.85
2025-03-13T16:23:17-04:00,774024942,1.83,738.17
2025-03-13T16:23:27-04:00,790503223,1.57,753.88
