timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-14T11:37:49-04:00,952276,0.09,0.91
2025-03-14T11:37:59-04:00,2257370,0.12,2.15
2025-03-14T11:38:09-04:00,3221598,0.09,3.07
2025-03-14T11:38:19-04:00,3779994,0.05,3.60
2025-03-14T11:38:29-04:00,4194891,0.04,4.00
2025-03-14T11:38:39-04:00,4295507,0.01,4.10
2025-03-14T11:38:49-04:00,4514227,0.02,4.31
2025-03-14T11:38:59-04:00,5025109,0.05,4.79
2025-03-14T11:39:09-04:00,5560070,0.05,5.30
2025-03-14T11:39:19-04:00,5856839,0.03,5.59
2025-03-14T11:39:29-04:00,6707320,0.08,6.40
2025-03-14T11:39:39-04:00,7281892,0.05,6.94
2025-03-14T11:39:49-04:00,7559497,0.03,7.21
2025-03-14T11:39:59-04:00,7715622,0.01,7.36
