timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-13T15:44:59-04:00,11331080,1.08,10.81
2025-03-13T15:45:09-04:00,24109424,1.22,22.99
2025-03-13T15:45:19-04:00,27987015,0.37,26.69
2025-03-13T15:45:29-04:00,43886754,1.52,41.85
2025-03-13T15:45:39-04:00,51452629,0.72,49.07
2025-03-13T15:45:49-04:00,58090653,0.63,55.40
2025-03-13T15:45:59-04:00,63997595,0.56,61.03
2025-03-13T15:46:09-04:00,70971310,0.67,67.68
2025-03-13T15:46:19-04:00,74461322,0.33,71.01
2025-03-13T15:46:29-04:00,86228532,1.12,82.23
2025-03-13T15:46:39-04:00,96523559,0.98,92.05
2025-03-13T15:46:49-04:00,108032482,1.10,103.03
