timestamp,bytes_transferred,rate_mbps,total_mb
2025-03-13T15:47:31-04:00,7168349,0.68,6.84
2025-03-13T15:47:41-04:00,19930483,1.22,19.01
2025-03-13T15:47:51-04:00,32880692,1.24,31.36
2025-03-13T15:48:01-04:00,39421351,0.62,37.60
2025-03-13T15:48:11-04:00,49901626,1.00,47.59
2025-03-13T15:48:21-04:00,65843544,1.52,62.79
2025-03-13T15:48:31-04:00,72385504,0.62,69.03
2025-03-13T15:48:41-04:00,84207500,1.13,80.31
2025-03-13T15:48:51-04:00,96001035,1.12,91.55
2025-03-13T15:49:01-04:00,101125338,0.49,96.44
2025-03-13T15:49:11-04:00,109078447,0.76,104.03
2025-03-13T15:49:21-04:00,118333936,0.88,112.85
